county,name,city
VARAŽDINSKA,Prva gimnazija Varaždin,Varaždin
GRAD ZAGREB,Prva katolička osnovna škola u Gradu Zagrebu,Zagreb
KARLOVAČKA,Prva osnovna škola,Ogulin
GRAD ZAGREB,Prva privatna gimnazija s pravom javnosti,Zagreb
VARAŽDINSKA,Prva privatna gimnazija s pravom javnosti Varaždin,Varaždin
PRIMORSKO-GORANSKA,Prva Riječka Hrvatska gimnazija,Rijeka
OSJEČKO-BARANJSKA,Prva srednja škola Beli Manastir,Beli Manastir
VUKOVARSKO-SRIJEMSKA,Prva srednja škola Vukovar,Vukovar
PRIMORSKO-GORANSKA,Prva Sušačka Hrvatska gimnazija u Rijeci,Rijeka
BRODSKO-POSAVSKA,Regionalni edukacijsko-rehabilitacijski centar Milan Amruš,Slavonski Brod
PRIMORSKO-GORANSKA,Salezijanska klasična gimnazija - s pravom javnosti,Rijeka
GRAD ZAGREB,Škola drvne tehnologije i šumarstva,Zagreb
SPLITSKO-DALMATINSKA,Škola Likovnih umjetnosti,Split
GRAD ZAGREB,Škola Primijenjene umjetnosti i dizajna,Zagreb
ZADARSKA,Škola Primijenjene umjetnosti i dizajna,Zadar
OSJEČKO-BARANJSKA,Škola Primijenjene umjetnosti i dizajna Osijek,Osijek
ISTARSKA,Škola primijenjenih umjetnosti i dizajna - Pula,Pula
GRAD ZAGREB,Škola za Cestovni Promet,Zagreb
SPLITSKO-DALMATINSKA,"Škola za dizajn, grafiku i Održivu Gradnju",Split
GRAD ZAGREB,"Škola za grafiku, dizajn i medijsku produkciju",Zagreb
GRAD ZAGREB,Škola za Medicinske Sestre Mlinarska,Zagreb
GRAD ZAGREB,Škola za Medicinske Sestre Vinogradska,Zagreb
GRAD ZAGREB,Škola za Medicinske Sestre Vrapče,Zagreb
GRAD ZAGREB,Škola za modu i dizajn,Zagreb
GRAD ZAGREB,Škola za montažu instalacija i metalnih konstrukcija,Zagreb
ISTARSKA,Škola za odgoj i obrazovanje - Pula,Pula
GRAD ZAGREB,Škola za Primalje,Zagreb
PRIMORSKO-GORANSKA,Škola za primijenjenu umjetnost u Rijeci,Rijeka
PRIMORSKO-GORANSKA,Škola za trgovinu i modni dizajn Rijeka,Rijeka
ISTARSKA,"Škola za turizam, ugostiteljstvo i trgovinu",Pula
KRAPINSKO-ZAGORSKA,"Škola za umjetnost, dizajn, grafiku i odjeću Zabok",Zabok
GRAD ZAGREB,Športska gimnazija,Zagreb
KOPRIVNIČKO-KRIŽEVAČKA,Srednja Gospodarska škola Križevci,Križevci
BRODSKO-POSAVSKA,Srednja Medicinska škola,Slavonski Brod
DUBROVAČKO-NERETVANSKA,Srednja Poljoprivredna i tehnička škola,Opuzen
MEĐIMURSKA,Srednja škola - Čakovec,Čakovec
VARAŽDINSKA,"Srednja škola ""Arboretum Opeka""",Marčan
BJELOVARSKO-BILOGORSKA,"Srednja škola ""August Šenoa"" Garešnica",Garešnica
KOPRIVNIČKO-KRIŽEVAČKA,"Srednja škola ""Ivan Seljanec"" Križevci",Križevci
DUBROVAČKO-NERETVANSKA,"Srednja škola ""Ivo Padovan"" Blato",Blato
VIROVITIČKO-PODRAVSKA,"Srednja škola ""Stjepan Ivšić""",Orahovica
ISTARSKA,"Srednja škola ""Vladimir Gortan"" - scuola media superiore ""Vladimir Gortan""",Buje
PRIMORSKO-GORANSKA,Srednja škola Ambroza Haračića,Mali Lošinj
PRIMORSKO-GORANSKA,Srednja škola Ambroza Haračića - ustrojstveni dio Cres,Cres
PRIMORSKO-GORANSKA,Srednja škola Andrije Ljudevita Adamića,Rijeka
SPLITSKO-DALMATINSKA,Srednja škola Antun Matijašević - Karamaneo,Vis
ZAGREBAČKA,Srednja škola Ban Josip Jelačić,Zaprešić
BJELOVARSKO-BILOGORSKA,Srednja škola Bartola Kašića Grubišno Polje,Grubišno Polje
ZADARSKA,Srednja škola Bartula Kašića,Pag
KRAPINSKO-ZAGORSKA,Srednja škola Bedekovčina,Bedekovčina
ZADARSKA,Srednja škola Biograd na Moru,Biograd na Moru
SPLITSKO-DALMATINSKA,Srednja škola Bol,Bol
SPLITSKO-DALMATINSKA,Srednja škola Brač,Supetar
SPLITSKO-DALMATINSKA,Srednja škola Braća Radić,Kaštel Štafilić - Nehaj
ISTARSKA,Srednja škola Buzet,Buzet
BJELOVARSKO-BILOGORSKA,Srednja škola Čazma,Čazma
OSJEČKO-BARANJSKA,Srednja škola Dalj,Dalj
PRIMORSKO-GORANSKA,Srednja škola Delnice,Delnice
SPLITSKO-DALMATINSKA,Srednja škola Dental centar Marušić,Split
OSJEČKO-BARANJSKA,Srednja škola Donji Miholjac,Donji Miholjac
PRIMORSKO-GORANSKA,Srednja škola dr. Antuna Barca Crikvenica,Crikvenica
ZAGREBAČKA,Srednja škola Dragutina Stražimira,Sveti Ivan Zelina
KARLOVAČKA,Srednja škola Duga Resa,Duga Resa
ZAGREBAČKA,Srednja škola Dugo Selo,Dugo Selo
DUBROVAČKO-NERETVANSKA,Srednja škola fra Andrije Kačića Miošića,Ploče
SPLITSKO-DALMATINSKA,Srednja škola fra Andrije Kačića Miošića,Makarska
SISAČKO-MOSLAVAČKA,Srednja škola Glina,Glina
ZADARSKA,Srednja škola Gračac,Gračac
PRIMORSKO-GORANSKA,Srednja škola Hrvatski kralj Zvonimir,Krk
SPLITSKO-DALMATINSKA,Srednja škola Hvar,Hvar
SPLITSKO-DALMATINSKA,Srednja škola Hvar - izdvojena lokacija u Jelsi,Hvar
VUKOVARSKO-SRIJEMSKA,Srednja škola Ilok,Ilok
OSJEČKO-BARANJSKA,Srednja škola Isidora Kršnjavoga Našice,Našice
ZAGREBAČKA,Srednja škola Ivan Švear Ivanić Grad,Ivanić-Grad
ZAGREBAČKA,Srednja škola Ivan Švear Ivanić Grad - izdvojena lokacija Križ,Križ
SPLITSKO-DALMATINSKA,Srednja škola Ivana Lucića - Trogir,Trogir
ŠIBENSKO-KNINSKA,Srednja škola Ivana Meštrovića Drniš,Drniš
SISAČKO-MOSLAVAČKA,Srednja škola Ivana Trnskoga,Hrvatska Kostajnica
VARAŽDINSKA,Srednja škola Ivanec,Ivanec
ZAGREBAČKA,Srednja škola Jastrebarsko,Jastrebarsko
GRAD ZAGREB,Srednja škola Jelkovec,Sesvete
OSJEČKO-BARANJSKA,Srednja škola Josipa Kozarca Đurđenovac,Đurđenovac
SPLITSKO-DALMATINSKA,Srednja škola Jure Kaštelan,Omiš
ZADARSKA,"Srednja škola kneza Branimira, Benkovac",Benkovac
KRAPINSKO-ZAGORSKA,Srednja škola Konjščina,Konjščina
KOPRIVNIČKO-KRIŽEVAČKA,Srednja škola Koprivnica,Koprivnica
KRAPINSKO-ZAGORSKA,Srednja škola Krapina,Krapina
ŠIBENSKO-KNINSKA,Srednja škola Lovre Montija,Knin
VARAŽDINSKA,Srednja škola Ludbreg,Ludbreg
VIROVITIČKO-PODRAVSKA,Srednja škola Marka Marulića Slatina,Slatina
PRIMORSKO-GORANSKA,Srednja škola Markantuna de Dominisa Rab,Rab
ISTARSKA,Srednja škola Mate Balote,Poreč
ISTARSKA,Srednja škola Mate Blažine Labin,Labin
BRODSKO-POSAVSKA,Srednja škola Matije Antuna Reljkovića Slavonski Brod,Slavonski Brod
DUBROVAČKO-NERETVANSKA,Srednja škola Metković,Metković
VARAŽDINSKA,Srednja škola Novi Marof,Novi Marof
SISAČKO-MOSLAVAČKA,Srednja škola Novska,Novska
ZADARSKA,Srednja škola Obrovac,Obrovac
KRAPINSKO-ZAGORSKA,Srednja škola Oroslavje,Oroslavje
LIČKO-SENJSKA,Srednja škola Otočac,Otočac
POŽEŠKO-SLAVONSKA,Srednja škola Pakrac,Pakrac
LIČKO-SENJSKA,Srednja škola Pavla Rittera Vitezovića u Senju,Senj
DUBROVAČKO-NERETVANSKA,Srednja škola Petra Šegedina,Korčula
SISAČKO-MOSLAVAČKA,Srednja škola Petrinja,Petrinja
LIČKO-SENJSKA,Srednja škola Plitvička jezera,Korenica
KRAPINSKO-ZAGORSKA,Srednja škola Pregrada,Pregrada
MEĐIMURSKA,Srednja škola Prelog,Prelog
KARLOVAČKA,Srednja škola Slunj,Slunj
VIROVITIČKO-PODRAVSKA,Srednja Škola Stjepana Sulimanca,Pitomača
SISAČKO-MOSLAVAČKA,Srednja škola Tina Ujevića,Kutina
SPLITSKO-DALMATINSKA,Srednja škola Tina Ujevića,Vrgorac
SISAČKO-MOSLAVAČKA,Srednja škola Topusko,Topusko
VARAŽDINSKA,Srednja škola u Maruševcu s pravom javnosti,Maruševec
OSJEČKO-BARANJSKA,Srednja škola Valpovo,Valpovo
DUBROVAČKO-NERETVANSKA,Srednja škola Vela Luka,Vela Luka
SISAČKO-MOSLAVAČKA,Srednja škola Viktorovac,Sisak
PRIMORSKO-GORANSKA,Srednja škola Vladimir Nazor,Čabar
ZAGREBAČKA,Srednja škola Vrbovec,Vrbovec
PRIMORSKO-GORANSKA,Srednja škola za elektrotehniku i računalstvo,Rijeka
KRAPINSKO-ZAGORSKA,Srednja škola Zabok,Zabok
KRAPINSKO-ZAGORSKA,Srednja škola Zlatar,Zlatar
ISTARSKA,"Srednja škola Zvane Črnje Rovinj, scuola media superiore ""Zvane Črnja"" Rovigno",Rovinj
SPLITSKO-DALMATINSKA,Srednja strukovna škola,Makarska
VARAŽDINSKA,Srednja strukovna škola,Varaždin
ZAGREBAČKA,Srednja strukovna škola,Samobor
OSJEČKO-BARANJSKA,Srednja strukovna škola Antuna Horvata,Đakovo
SPLITSKO-DALMATINSKA,Srednja strukovna škola bana Josipa Jelačića,Sinj
SPLITSKO-DALMATINSKA,Srednja strukovna škola Blaž Jurjev Trogiranin,Trogir
ŠIBENSKO-KNINSKA,Srednja strukovna škola kralja Zvonimira,Knin
VUKOVARSKO-SRIJEMSKA,Srednja strukovna škola Marko Babić,Vukovar
ŠIBENSKO-KNINSKA,Srednja strukovna škola Šibenik,Šibenik
ZAGREBAČKA,Srednja strukovna škola Velika Gorica,Velika Gorica
VUKOVARSKO-SRIJEMSKA,Srednja strukovna škola Vinkovci,Vinkovci
PRIMORSKO-GORANSKA,Srednja Talijanska škola - Rijeka scuola media superiore italiana - Fiume,Rijeka
SPLITSKO-DALMATINSKA,Srednja tehnička prometna škola,Split
PRIMORSKO-GORANSKA,Srednja waldorfska škola u Rijeci,Rijeka
GRAD ZAGREB,Srednja waldorfska škola u Zagrebu,Zagreb
GRAD ZAGREB,Srpska Pravoslavna opća gimnazija Kantakuzina-Katarina Branković ustanova ˝s pravom javnosti˝,Zagreb
VARAŽDINSKA,Strojarska i prometna škola,Varaždin
PRIMORSKO-GORANSKA,Strojarska škola za industrijska i obrtnička zanimanja,Rijeka
GRAD ZAGREB,Strojarska tehnička škola Fausta Vrančića,Zagreb
GRAD ZAGREB,Strojarska tehnička škola Frana Bošnjakovića,Zagreb
OSJEČKO-BARANJSKA,Strojarska tehnička škola Osijek,Osijek
KOPRIVNIČKO-KRIŽEVAČKA,Strukovna škola Đurđevac,Đurđevac
ISTARSKA,Strukovna škola Eugena Kumičića Rovinj - scuola di Formazione Professionale Eugen Kumičić Rovigno,Rovinj
LIČKO-SENJSKA,Strukovna škola Gospić,Gospić
ISTARSKA,Strukovna škola Pula,Pula
SISAČKO-MOSLAVAČKA,Strukovna škola Sisak,Sisak
ZADARSKA,Strukovna škola Vice Vlatkovića,Zadar
VIROVITIČKO-PODRAVSKA,Strukovna škola Virovitica,Virovitica
KARLOVAČKA,Šumarska i Drvodjeljska škola Karlovac,Karlovac
ISTARSKA,"Talijanska osnovna škola - Scuola elementare italiana ""Bernardo Benussi"" Rovinj - Rovigno",Rovinj
ISTARSKA,Talijanska osnovna škola - Scuola elementare italiana Bernardo Parentin Poreč - Parenzo,Poreč
ISTARSKA,Talijanska osnovna škola Galileo Galilei,Umag
ISTARSKA,"Talijanska osnovna škola Scuola elementare italiana ""Edmondo De Amicis"" Buje Buie",Buje
ISTARSKA,"Talijanska osnovna škola, Scuola elementare italiana, Novigrad - Cittanova",Novigrad
ISTARSKA,"Talijanska srednja škola - Scuola media superiore italiana „Antonio Borme"" Rovinj - Rovigno",Rovinj
ISTARSKA,"Talijanska srednja škola - Scuola media superiore italiana ""Leonardo da Vinci"" Buje - Buie",Buje
ISTARSKA,"Talijanska srednja škola Dante Alighieri, Pula - scuola media superiore italiana Dante Alighieri, Pola",Pula
SPLITSKO-DALMATINSKA,Tehnička i industrijska škola Ruđera Boškovića u Sinju,Sinj
POŽEŠKO-SLAVONSKA,Tehnička škola,Požega
ŠIBENSKO-KNINSKA,Tehnička škola,Šibenik
ZADARSKA,Tehnička škola,Zadar
BJELOVARSKO-BILOGORSKA,Tehnička škola Bjelovar,Bjelovar
MEĐIMURSKA,Tehnička škola Čakovec,Čakovec
BJELOVARSKO-BILOGORSKA,Tehnička škola Daruvar,Daruvar
OSJEČKO-BARANJSKA,Tehnička škola i prirodoslovna gimnazija Ruđera Boškovića,Osijek
KARLOVAČKA,Tehnička škola Karlovac,Karlovac
SISAČKO-MOSLAVAČKA,Tehnička škola Kutina,Kutina
VUKOVARSKO-SRIJEMSKA,Tehnička škola Nikole Tesle,Vukovar
ISTARSKA,Tehnička škola Pula,Pula
GRAD ZAGREB,Tehnička škola Ruđera Boškovića,Zagreb
VUKOVARSKO-SRIJEMSKA,Tehnička škola Ruđera Boškovića Vinkovci,Vinkovci
SISAČKO-MOSLAVAČKA,Tehnička škola Sisak,Sisak
SPLITSKO-DALMATINSKA,Tehnička škola u Imotskom,Imotski
VIROVITIČKO-PODRAVSKA,Tehnička škola Virovitica,Virovitica
GRAD ZAGREB,Tehnička škola za računalstvo i mrežne djelatnosti,Zagreb
SPLITSKO-DALMATINSKA,Tehnička škola za Strojarstvo i Mehatroniku,Split
GRAD ZAGREB,Tehnička škola Zagreb,Zagreb
VUKOVARSKO-SRIJEMSKA,Tehnička škola Županja,Županja
PRIMORSKO-GORANSKA,"Tehnička škola, Rijeka",Rijeka
BRODSKO-POSAVSKA,"Tehnička škola, Slavonski Brod",Slavonski Brod
GRAD ZAGREB,Treća ekonomska škola,Zagreb
OSJEČKO-BARANJSKA,Trgovačka i Komercijalna škola Davor Milas,Osijek
GRAD ZAGREB,Trgovačka škola,Zagreb
KARLOVAČKA,Trgovačko - ugostiteljska škola,Karlovac
DUBROVAČKO-NERETVANSKA,Turistička i ugostiteljska škola Dubrovnik,Dubrovnik
ISTARSKA,Turističko - ugostiteljska škola Antona Štifanića Poreč,Poreč
SPLITSKO-DALMATINSKA,"Turističko - ugostiteljska škola, Split",Split
BJELOVARSKO-BILOGORSKA,Turističko-ugostiteljska i prehrambena škola Bjelovar,Bjelovar
ŠIBENSKO-KNINSKA,Turističko-ugostiteljska škola Šibenik,Šibenik
PRIMORSKO-GORANSKA,Ugostiteljska škola Opatija,Opatija
OSJEČKO-BARANJSKA,Ugostiteljsko-turistička škola,Osijek
GRAD ZAGREB,Ugostiteljsko-turističko Učilište,Zagreb
GRAD ZAGREB,Upravna škola Zagreb,Zagreb
GRAD ZAGREB,V. gimnazija,Zagreb
SPLITSKO-DALMATINSKA,V. gimnazija Vladimir Nazor Split,Split
VARAŽDINSKA,V. osnovna škola Varaždin,Varaždin
GRAD ZAGREB,Veterinarska škola,Zagreb
VARAŽDINSKA,VI. osnovna škola Varaždin,Varaždin
GRAD ZAGREB,VII. gimnazija,Zagreb
VARAŽDINSKA,VII. osnovna škola Varaždin,Varaždin
ISTARSKA,Waldorfska škola u Brtonigli - Scuola Waldorf di Verteneglio,Brtonigla
OSJEČKO-BARANJSKA,Waldorfska škola u Osijeku,Osijek
GRAD ZAGREB,Waldorfska škola u Zagrebu,Zagreb
GRAD ZAGREB,X. gimnazija Ivan Supek,Zagreb
GRAD ZAGREB,XI. gimnazija,Zagreb
GRAD ZAGREB,XII. gimnazija,Zagreb
GRAD ZAGREB,XIII. gimnazija,Zagreb
GRAD ZAGREB,XV. gimnazija,Zagreb
GRAD ZAGREB,XVI. gimnazija,Zagreb
GRAD ZAGREB,XVIII. gimnazija,Zagreb
VUKOVARSKO-SRIJEMSKA,Zdravstvena i veterinarska škola Dr. Andrije Štampara Vinkovci,Vinkovci
SPLITSKO-DALMATINSKA,Zdravstvena škola,Split
GRAD ZAGREB,Zdravstveno Učilište,Zagreb
PRIMORSKO-GORANSKA,Željeznička tehnička škola Moravice,Moravice
GRAD ZAGREB,Ženska opća gimnazija Družbe sestara milosrdnica - s pravom javnosti,Zagreb
ZAGREBAČKA,Zrakoplovna tehnička škola Rudolfa Perešina,Velika Gorica
