county,name,city
ŠIBENSKO-KNINSKA,"Osnovna škola ""Meterize""",Šibenik
LIČKO-SENJSKA,"Osnovna škola ""Milan Sekulić"" Lovinac",Lovinac
VARAŽDINSKA,"Osnovna škola ""Petar Zrinski"" Jalžabet",Jalžabet
KOPRIVNIČKO-KRIŽEVAČKA,"Osnovna škola ""Podolice"" Koprivnica",Koprivnica
VARAŽDINSKA,"Osnovna škola ""Podrute""",Donje Makojišće
KOPRIVNIČKO-KRIŽEVAČKA,"Osnovna škola ""prof.Blaž Mađer"", Novigrad Podravski",Novigrad Podravski
LIČKO-SENJSKA,Osnovna škola „Šime Starčević“ Karlobag,Karlobag
KARLOVAČKA,"Osnovna škola ""Skakavac""",Skakavac
KARLOVAČKA,"Osnovna škola ""Slava Raškaj""",Ozalj
PRIMORSKO-GORANSKA,"Osnovna škola ""Srdoči""",Rijeka
SPLITSKO-DALMATINSKA,"Osnovna škola ""Strožanac""",Strožanac - Podstrana
PRIMORSKO-GORANSKA,"Osnovna škola ""Trsat""",Rijeka
ISTARSKA,"Osnovna škola ""Vazmoslav Gržalja""",Buzet
DUBROVAČKO-NERETVANSKA,"Osnovna škola ""Vladimir Nazor""",Ploče
KARLOVAČKA,"Osnovna škola ""Vladimir Nazor""",Duga Resa
KOPRIVNIČKO-KRIŽEVAČKA,"Osnovna škola ""Vladimir Nazor"" Križevci",Križevci
KARLOVAČKA,Osnovna škola ˝Antun Klasinc˝ Lasinja,Lasinja
SPLITSKO-DALMATINSKA,Osnovna škola ˝Bol˝,Split
PRIMORSKO-GORANSKA,Osnovna škola ˝Kantrida˝,Rijeka
PRIMORSKO-GORANSKA,Osnovna škola ˝Milan Brozović˝,Kastav
ZADARSKA,Osnovna škola ˝Petar Zoranić˝,Nin
SPLITSKO-DALMATINSKA,Osnovna škola 1. Listopada 1942.,Čisla
SISAČKO-MOSLAVAČKA,Osnovna škola 22. lipnja,Sisak
LIČKO-SENJSKA,Osnovna škola a. g. Matoša Novalja,Novalja
GRAD ZAGREB,Osnovna škola Alojzija Stepinca,Zagreb
VARAŽDINSKA,Osnovna škola Andrije Kačića Miošića,Donja Voća
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Andrije Palmovića,Rasinja
VUKOVARSKO-SRIJEMSKA,Osnovna škola Ane Katarine Zrinski,Retkovci
SPLITSKO-DALMATINSKA,Osnovna škola Ante Anđelinović,Sućuraj
DUBROVAČKO-NERETVANSKA,Osnovna škola Ante Curać-Pinjac,Žrnovo
GRAD ZAGREB,Osnovna škola Ante Kovačića,Zagreb
KRAPINSKO-ZAGORSKA,Osnovna škola Ante Kovačića,Zlatar
ZAGREBAČKA,Osnovna škola Ante Kovačića,Marija Gorica
BRODSKO-POSAVSKA,Osnovna škola Ante Starčevića,Rešetari
SPLITSKO-DALMATINSKA,Osnovna škola Ante Starčevića,Dicmo
VARAŽDINSKA,Osnovna škola Ante Starčevića,Lepoglava
OSJEČKO-BARANJSKA,Osnovna škola Ante Starčevića Viljevo,Viljevo
VUKOVARSKO-SRIJEMSKA,Osnovna škola Antun Gustav Matoš,Vinkovci
VUKOVARSKO-SRIJEMSKA,Osnovna škola Antun Gustav Matoš Tovarnik,Tovarnik
VUKOVARSKO-SRIJEMSKA,Osnovna škola Antun i Stjepan Radić,Gunja
BRODSKO-POSAVSKA,Osnovna škola Antun Matija Reljković,Bebrina
BRODSKO-POSAVSKA,Osnovna škola Antun Mihanović,Slavonski Brod
BRODSKO-POSAVSKA,Osnovna škola Antun Mihanović Nova Kapela Batrina,Batrina
KOPRIVNIČKO-KRIŽEVAČKA,Osnovna škola Antun Nemčić Gostovinski,Koprivnica
ZAGREBAČKA,Osnovna škola Antuna Augustinčića,Zaprešić
VUKOVARSKO-SRIJEMSKA,Osnovna škola Antuna Bauera,Vukovar
GRAD ZAGREB,Osnovna škola Antuna Branka Šimića,Zagreb
GRAD ZAGREB,Osnovna škola Antuna Gustava Matoša,Zagreb
VIROVITIČKO-PODRAVSKA,Osnovna škola Antuna Gustava Matoša,Čačinci
VARAŽDINSKA,Osnovna škola Antuna i Ivana Kukuljevića,Varaždinske Toplice
POŽEŠKO-SLAVONSKA,Osnovna škola Antuna Kanižlića,Požega
DUBROVAČKO-NERETVANSKA,Osnovna škola Antuna Masle - Orašac,Orašac
GRAD ZAGREB,Osnovna škola Antuna Mihanovića,Zagreb
KRAPINSKO-ZAGORSKA,Osnovna škola Antuna Mihanovića,Klanjec
OSJEČKO-BARANJSKA,Osnovna škola Antuna Mihanovića,Osijek
ŠIBENSKO-KNINSKA,Osnovna škola Antuna Mihanovića Petropoljskog,Drniš
KRAPINSKO-ZAGORSKA,Osnovna škola Antuna Mihanovića Petrovsko,Petrovsko
OSJEČKO-BARANJSKA,Osnovna škola Antunovac,Antunovac
LIČKO-SENJSKA,Osnovna škola Anž Frankopan Kosinj,Gornji Kosinj
VIROVITIČKO-PODRAVSKA,Osnovna škola August Cesarec,Špišić Bukovica
VUKOVARSKO-SRIJEMSKA,Osnovna škola August Cesarec,Ivankovo
OSJEČKO-BARANJSKA,Osnovna škola August Harambašić,Donji Miholjac
OSJEČKO-BARANJSKA,Osnovna škola August Šenoa,Osijek
GRAD ZAGREB,Osnovna škola Augusta Cesarca,Zagreb
KRAPINSKO-ZAGORSKA,"Osnovna škola Augusta Cesarca, Krapina",Krapina
GRAD ZAGREB,Osnovna škola Augusta Harambašića,Zagreb
BRODSKO-POSAVSKA,Osnovna škola Augusta Šenoe,Gundinci
GRAD ZAGREB,Osnovna škola Augusta Šenoe,Zagreb
PRIMORSKO-GORANSKA,Osnovna škola Bakar,Bakar
GRAD ZAGREB,Osnovna škola bana Josipa Jelačića,Zagreb
KARLOVAČKA,Osnovna škola Banija,Karlovac
SISAČKO-MOSLAVAČKA,Osnovna škola Banova Jaruga,Banova Jaruga
KARLOVAČKA,Osnovna škola Barilović,Barilović
SPLITSKO-DALMATINSKA,Osnovna škola Bariše Granića Meštra,Baška Voda
GRAD ZAGREB,Osnovna škola Bartola Kašića,Zagreb
VUKOVARSKO-SRIJEMSKA,Osnovna škola Bartola Kašića,Vinkovci
ZADARSKA,Osnovna škola Bartula Kašića,Zadar
KRAPINSKO-ZAGORSKA,Osnovna škola Bedekovčina,Bedekovčina
ZAGREBAČKA,Osnovna škola Bedenica,Bedenica
KRAPINSKO-ZAGORSKA,Osnovna škola Belec,Belec
VARAŽDINSKA,Osnovna škola Beletinec,Beletinec
MEĐIMURSKA,Osnovna škola Belica,Belica
ZADARSKA,Osnovna škola Benkovac,Benkovac
BJELOVARSKO-BILOGORSKA,Osnovna škola Berek,Berek
SPLITSKO-DALMATINSKA,Osnovna škola Bijaći,Kaštel Novi
OSJEČKO-BARANJSKA,Osnovna škola Bijelo Brdo,Bijelo Brdo
OSJEČKO-BARANJSKA,Osnovna škola Bilje,Bilje
ZADARSKA,Osnovna škola Biograd,Biograd na Moru
VARAŽDINSKA,Osnovna škola Bisag,Bisag
ZAGREBAČKA,Osnovna škola Bistra,Poljanica Bistranska
VUKOVARSKO-SRIJEMSKA,Osnovna škola Blage Zadre,Vukovar
SPLITSKO-DALMATINSKA,Osnovna škola Blatine-Škrape,Split
DUBROVAČKO-NERETVANSKA,Osnovna škola Blato,Blato
BRODSKO-POSAVSKA,Osnovna škola Blaž Tadijanović,Slavonski Brod
VUKOVARSKO-SRIJEMSKA,Osnovna škola Bobota,Bobota
BRODSKO-POSAVSKA,Osnovna škola Bogoslav Šulek,Slavonski Brod
ZAGREBAČKA,Osnovna škola Bogumila Tonija,Samobor
SPLITSKO-DALMATINSKA,Osnovna škola Bol,Bol
GRAD ZAGREB,Osnovna škola Borovje,Zagreb
VUKOVARSKO-SRIJEMSKA,Osnovna škola Borovo,Borovo
SISAČKO-MOSLAVAČKA,Osnovna škola Braća Radić,Martinska Ves
SISAČKO-MOSLAVAČKA,Osnovna škola Braća Ribar,Sisak
ZADARSKA,Osnovna škola Braća Ribar,Posedarje
GRAD ZAGREB,Osnovna škola braće Radić,Zagreb
ZADARSKA,Osnovna škola braće Radić,Pridraga
SPLITSKO-DALMATINSKA,Osnovna škola braće Radića,Bračević
ZAGREBAČKA,Osnovna škola braće Radića,Kloštar Ivanić
POŽEŠKO-SLAVONSKA,Osnovna škola braće Radića Pakrac,Pakrac
PRIMORSKO-GORANSKA,Osnovna škola Brajda,Rijeka
OSJEČKO-BARANJSKA,Osnovna škola Bratoljuba Klaića,Bizovac
SPLITSKO-DALMATINSKA,Osnovna škola Brda,Split
GRAD ZAGREB,Osnovna škola Brestje,Sesvete
VARAŽDINSKA,Osnovna škola Breznički Hum,Breznički Hum
GRAD ZAGREB,Osnovna škola Brezovica,Brezovica
PRIMORSKO-GORANSKA,Osnovna škola Brod Moravice,Brod Moravice
ŠIBENSKO-KNINSKA,Osnovna škola Brodarica,Brodarica
VUKOVARSKO-SRIJEMSKA,Osnovna škola Bršadin,Bršadin
SISAČKO-MOSLAVAČKA,Osnovna škola Budaševo-Topolovac-Gušće,Budaševo
OSJEČKO-BARANJSKA,Osnovna škola Budrovci,Budrovci
GRAD ZAGREB,Osnovna škola Bukovac,Zagreb
VUKOVARSKO-SRIJEMSKA,Osnovna škola Čakovci,Čakovci
PRIMORSKO-GORANSKA,Osnovna škola Čavle,Čavle
DUBROVAČKO-NERETVANSKA,Osnovna škola Cavtat,Cavtat
